Event	Latitude	Longitude	Elevation [m]	Date/Time	Sample ID	Depth sed [m]	Nodules [kg/m**2]	Deposit type
RP8OC75-49-27	8.5033	-150.7967	-4938	1975-10-31	RP8OC75-49-27-1-FCB	0	11.50	Mn nodule
RP8OC75-50-28	8.6950	-150.3117	-4909	1975-11-01	RP8OC75-50-28-1-FCB	0	11.40	Mn nodule
RP8OC75-50-29	8.7300	-150.3117	-4933	1975-11-01	RP8OC75-50-29-1-FCB	0	19.90	Mn nodule
RP8OC75-50-30	8.6850	-150.2517	-4831	1975-11-01	RP8OC75-50-30-1-FCB	0	5.50	Mn nodule
RP8OC75-50-31	8.6900	-150.2500	-4870	1975-11-01	RP8OC75-50-31-1-FCB	0	21.70	Mn nodule
RP8OC75-50-32	8.7183	-150.2350	-4852	1975-11-02	RP8OC75-50-32-1-FCB	0	10.50	Mn nodule
RP8OC75-51-33	11.6933	-139.1833	-4785	1975-11-04	RP8OC75-51-33-1-FCB	0	0.90	Mn nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	1975-11-04	RP8OC75-51-34-1-FCB	0	9.50	Mn nodule
RP8OC75-51-35	11.7183	-139.1483	-4817	1975-11-04	RP8OC75-51-35-1-FCB	0	0.03	Mn nodule
RP8OC75-51-36	11.7283	-139.1367	-4817	1975-11-05	RP8OC75-51-36-1-FCB	0	0.04	Mn nodule
RP8OC75-52-37	11.2283	-139.1650	-4778	1975-11-05	RP8OC75-52-37-1-FCB	0	0.03	Mn nodule
RP8OC75-52-38	11.2483	-139.0900	-4835	1975-11-05	RP8OC75-52-38-1-FCB	0	0.09	Mn nodule
RP8OC75-52-39	11.2483	-139.0900	-4831	1975-11-05	RP8OC75-52-39-1-FCB	0	3.00	Mn nodule
RP8OC75-52-40	11.2717	-139.0700	-4765	1975-11-06	RP8OC75-52-40-1-FCB	0	1.90	Mn nodule
RP8OC75-52-41	11.2250	-139.1283	-4756	1975-11-06	RP8OC75-52-41-1-FCB	0	4.50	Mn nodule
RP8OC75-53-44	11.7217	-138.3733	-4902	1975-11-07	RP8OC75-53-44-1-FCB	0	0.04	Mn nodule
RP8OC75-53-45	11.7317	-138.3700	-4887	1975-11-07	RP8OC75-53-45-1-FCB	0	4.00	Mn nodule
RP8OC75-53-46	11.7383	-138.3533	-4833	1975-11-07	RP8OC75-53-46-1-FCB	0	0.05	Mn nodule
RP8OC75-54-47	12.1733	-137.7350	-4833	1975-11-08	RP8OC75-54-47-1-FCB	0	1.10	Mn nodule
RP8OC75-54-48	12.1833	-137.6833	-4833	1975-11-08	RP8OC75-54-48-1-FCB	0	11.30	Mn nodule
RP8OC75-54-49	12.2000	-137.7450	-4942	1975-11-08	RP8OC75-54-49-1-FCB	0	0.20	Mn nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	1975-11-08	RP8OC75-54-50-1-FCB	0	2.60	Mn nodule
RP8OC75-54-51	12.1483	-137.7433	-4837	1975-11-08	RP8OC75-54-51-1-FCB	0	18.70	Mn nodule
RP8OC75-54-52	12.1600	-137.7067	-4855	1975-11-09	RP8OC75-54-52-1-FCB	0	15.60	Mn nodule
RP8OC75-55-53	11.8100	-137.4717	-4765	1975-11-09	RP8OC75-55-53-1-FCB	0	0.80	Mn nodule
RP8OC75-55-54	11.8467	-137.4450	-4737	1975-11-09	RP8OC75-55-54-1-FCB	0	10.00	Mn nodule
RP8OC75-55-55	11.8033	-137.4383	-4759	1975-11-09	RP8OC75-55-55-1-FCB	0	16.30	Mn nodule
RP8OC75-55-56	11.8100	-137.4050	-4800	1975-11-09	RP8OC75-55-56-1-FCB	0	16.00	Mn nodule
RP8OC76-1-6	15.2317	-125.9733	-4380	1976-10-01	RP8OC76-1-6-1-FCB	0	4.90	Mn nodule
RP8OC76-2-7	15.2417	-126.0433	-4539	1976-10-01	RP8OC76-2-7-1-FCB	0	8.84	Mn nodule
RP8OC76-3-8	15.2567	-125.9883	-4363	1976-10-01	RP8OC76-3-8-1-FCB	0	1.79	Mn nodule
RP8OC76-4-9	15.2433	-126.0267	-4490	1976-10-01	RP8OC76-4-9-1-FCB	0	6.51	Mn nodule
RP8OC76-5-10	15.2167	-125.9317	-4465	1976-10-01	RP8OC76-5-10-1-FCB	0	8.93	Mn nodule
RP8OC76-6-11	15.1817	-125.8933	-4442	1976-10-01	RP8OC76-6-11-1-FCB	0	12.35	Mn nodule
RP8OC76-7-12	15.2050	-125.8683	-4601	1976-10-01	RP8OC76-7-12-1-FCB	0	9.95	Mn nodule
RP8OC76-8-13	15.2067	-125.9533	-4367	1976-10-01	RP8OC76-8-13-1-FCB	0	8.48	Mn nodule
RP8OC76-10-15	15.1900	-126.0367	-4516	1976-10-01	RP8OC76-10-15-1-FCB	0	6.49	Mn nodule
RP8OC76-11-16	15.1950	-126.0650	-4524	1976-10-01	RP8OC76-11-16-1-FCB	0	13.81	Mn nodule
RP8OC76-12-18	15.1930	-126.0980	-4451	1976-10-01	RP8OC76-12-18-1-FCB	0	11.44	Mn nodule
RP8OC76-13-19	15.1367	-126.1067	-4481	1976-10-01	RP8OC76-13-19-1-FCB	0	10.21	Mn nodule
RP8OC76-14-20	15.1367	-126.0617	-4586	1976-10-01	RP8OC76-14-20-1-FCB	0	15.23	Mn nodule
RP8OC76-15-21	15.1400	-126.0450	-4501	1976-10-01	RP8OC76-15-21-1-FCB	0	8.81	Mn nodule
RP8OC76-16-22	15.1317	-125.9900	-4442	1976-10-01	RP8OC76-16-22-1-FCB	0	9.24	Mn nodule
RP8OC76-17-23	15.1383	-125.9550	-4376	1976-10-01	RP8OC76-17-23-1-FCB	0	16.84	Mn nodule
RP8OC76-18-24	15.1050	-125.9567	-4426	1976-10-01	RP8OC76-18-24-1-FCB	0	10.29	Mn nodule
RP8OC76-21-27	15.0983	-126.0350	-4522	1976-10-01	RP8OC76-21-27-1-FCB	0	16.06	Mn nodule
RP8OC76-22-28	15.1067	-126.0467	-4641	1976-10-01	RP8OC76-22-28-1-FCB	0	12.15	Mn nodule
